date,ski_field,hwadam_foliage
2024-01-27,75.75412,0.05642
2024-01-28,67.99739,
2024-01-29,68.2901,0.04701
2024-01-30,59.86665,
2024-01-31,50.88218,
2024-02-01,54.76868,
2024-02-02,54.91503,
2024-02-03,57.63883,
2024-02-04,52.5002,0.05642
2024-02-05,55.12643,
2024-02-06,47.65428,
2024-02-07,43.15798,
2024-02-08,48.10147,
2024-02-09,46.207,
2024-02-10,52.96365,0.13165
2024-02-11,57.65509,0.06582
2024-02-12,48.65436,0.04701
2024-02-13,45.45898,0.08463
2024-02-14,39.26335,
2024-02-15,22.44084,0.12224
2024-02-16,20.75778,0.05642
2024-02-17,19.652,0.07523
2024-02-18,15.22074,
2024-02-19,15.56224,
2024-02-20,15.03374,
2024-02-21,15.93625,
2024-02-22,21.14806,0.06582
2024-02-23,18.57874,0.04701
2024-02-24,17.92828,0.08463
2024-02-25,14.78982,0.06582
2024-02-26,13.93609,0.04701
2024-02-27,10.48052,0.04701
2024-02-28,10.40735,
2024-02-29,11.81396,0.10344
2024-03-01,10.74071,0.07523
2024-03-02,7.85429,0.12224
2024-03-03,3.92714,0.18807
2024-03-04,2.301,0.08463
2024-03-05,1.71558,0.07523
2024-03-06,1.39848,0.13165
2024-03-07,1.21148,0.22569
2024-03-08,1.244,0.05642
2024-03-09,1.32531,0.11284
2024-03-10,0.99195,0.2633
2024-03-11,0.80494,1.10964
2024-03-12,0.54475,0.5078
2024-03-13,0.52036,0.29151
2024-03-14,0.40653,0.18807
2024-03-15,0.5041,0.22569
2024-03-16,0.48784,0.20688
2024-03-17,0.30083,0.12224
2024-03-18,0.43092,0.15986
2024-03-19,0.2927,0.11284
2024-03-20,0.32522,0.19747
2024-03-21,0.21953,0.11284
2024-03-22,0.23579,0.13165
2024-03-23,0.13822,0.15986
2024-03-24,0.21139,0.18807
2024-03-25,0.22766,0.2633
2024-03-26,0.33336,0.20688
2024-03-27,0.16261,0.31032
2024-03-28,0.30083,0.2539
2024-03-29,0.187,0.19747
2024-03-30,0.20326,0.16926
2024-03-31,0.13009,0.22569
2024-04-01,0.26018,0.21628
2024-04-02,0.21953,0.31972
2024-04-03,0.16261,0.29151
2024-04-04,0.26831,0.29151
2024-04-05,0.23579,0.5078
2024-04-06,0.19513,0.31972
2024-04-07,0.0813,0.31972
2024-04-08,0.25205,0.31032
2024-04-09,0.25205,0.33853
2024-04-10,0.14635,0.40436
2024-04-11,0.13822,0.2633
2024-04-12,0.08943,0.40436
2024-04-13,0.15448,0.2633
2024-04-14,0.13822,0.30092
2024-04-15,0.17887,0.18807
2024-04-16,0.15448,0.28211
2024-04-17,0.15448,0.16926
2024-04-18,0.10569,0.19747
2024-04-19,0.10569,0.2539
2024-04-20,0.13822,0.21628
2024-04-21,0.11383,0.17867
2024-04-22,0.17887,0.13165
2024-04-23,0.33336,0.16926
2024-04-24,0.16261,0.10344
2024-04-25,0.0813,0.10344
2024-04-26,0.20326,0.09403
2024-04-27,0.22766,0.14105
2024-04-28,0.187,0.12224
2024-04-29,0.19513,0.12224
2024-04-30,0.16261,0.17867
2024-05-01,0.15448,0.15046
2024-05-02,0.13822,0.06582
2024-05-03,0.20326,0.06582
2024-05-04,0.12196,0.22569
2024-05-05,0.0813,0.14105
2024-05-06,0.15448,0.07523
2024-05-07,0.16261,0.17867
2024-05-08,0.17887,0.16926
2024-05-09,0.16261,0.09403
2024-05-10,0.05691,0.08463
2024-05-11,0.11383,
2024-05-12,0.12196,0.20688
2024-05-13,0.17074,0.14105
2024-05-14,0.14635,0.05642
2024-05-15,0.16261,0.11284
2024-05-16,0.23579,0.15046
2024-05-17,0.07317,
2024-05-18,0.17074,0.14105
2024-05-19,0.21953,0.17867
2024-05-20,0.17074,0.14105
2024-05-21,0.13822,0.06582
2024-05-22,0.24392,0.14105
2024-05-23,0.19513,0.15986
2024-05-24,0.16261,0.07523
2024-05-25,0.13009,0.15046
2024-05-26,0.16261,0.15046
2024-05-27,0.20326,0.16926
2024-05-28,0.10569,0.06582
2024-05-29,0.21139,0.21628
2024-05-30,0.25205,0.15046
2024-05-31,0.23579,0.10344
2024-06-01,0.13009,0.16926
2024-06-02,0.09756,0.21628
2024-06-03,0.14635,0.13165
2024-06-04,0.17074,0.14105
2024-06-05,0.21953,0.11284
2024-06-06,0.21953,0.20688
2024-06-07,0.31709,0.17867
2024-06-08,0.17074,0.21628
2024-06-09,0.14635,0.31032
2024-06-10,0.36588,0.15046
2024-06-11,0.21139,0.15046
2024-06-12,0.13822,0.13165
2024-06-13,0.28457,0.13165
2024-06-14,0.13009,0.12224
2024-06-15,0.14635,0.16926
2024-06-16,0.16261,0.23509
2024-06-17,0.21953,0.18807
2024-06-18,0.15448,0.15986
2024-06-19,0.17887,0.27271
2024-06-20,0.20326,0.11284
2024-06-21,0.187,0.15046
2024-06-22,0.17887,0.16926
2024-06-23,0.15448,0.33853
2024-06-24,0.20326,0.12224
2024-06-25,0.20326,0.19747
2024-06-26,0.2927,0.18807
2024-06-27,0.22766,0.14105
2024-06-28,0.28457,0.16926
2024-06-29,0.17887,0.15986
2024-06-30,0.24392,0.22569
2024-07-01,0.21139,0.30092
2024-07-02,0.26831,0.20688
2024-07-03,0.21139,0.08463
2024-07-04,0.17887,0.20688
2024-07-05,0.24392,0.24449
2024-07-06,0.26018,0.15046
2024-07-07,0.19513,0.21628
2024-07-08,0.30083,0.2633
2024-07-09,0.28457,0.2539
2024-07-10,0.30896,0.28211
2024-07-11,0.15448,0.30092
2024-07-12,0.19513,0.2539
2024-07-13,0.22766,0.33853
2024-07-14,0.17074,0.33853
2024-07-15,0.26018,0.2539
2024-07-16,0.26831,0.36674
2024-07-17,0.19513,0.19747
2024-07-18,0.32522,0.20688
2024-07-19,0.27644,0.24449
2024-07-20,0.26831,0.2539
2024-07-21,0.28457,0.27271
2024-07-22,0.21139,0.33853
2024-07-23,0.2927,0.32913
2024-07-24,0.34149,0.28211
2024-07-25,0.20326,0.31972
2024-07-26,0.30896,0.22569
2024-07-27,0.30896,0.27271
2024-07-28,0.41466,0.30092
2024-07-29,0.34149,0.2539
2024-07-30,0.27644,0.31972
2024-07-31,0.24392,0.38555
2024-08-01,0.30083,0.79932
2024-08-02,0.35775,0.66766
2024-08-03,0.26831,0.53601
2024-08-04,0.2927,0.78991
2024-08-05,0.38214,0.64886
2024-08-06,0.30896,0.58303
2024-08-07,0.33336,1.04382
2024-08-08,0.32522,0.68647
2024-08-09,0.26018,0.93097
2024-08-10,0.47971,0.83693
2024-08-11,0.47971,1.10024
2024-08-12,0.57728,1.12845
2024-08-13,0.48784,1.26951
2024-08-14,0.52036,1.01561
2024-08-15,0.35775,1.2507
2024-08-16,0.33336,1.38235
2024-08-17,0.35775,1.32593
2024-08-18,0.56102,2.16287
2024-08-19,0.60167,2.77412
2024-08-20,0.52036,2.20048
2024-08-21,0.3984,1.7491
2024-08-22,0.46345,1.91837
2024-08-23,0.30083,1.92777
2024-08-24,0.3984,1.89956
2024-08-25,0.43092,2.83054
2024-08-26,0.61793,2.68948
2024-08-27,0.5041,3.36656
2024-08-28,0.66672,3.7333
2024-08-29,0.51223,4.65488
2024-08-30,0.55289,4.14707
2024-08-31,0.58541,5.85856
2024-09-01,0.78868,6.98702
2024-09-02,1.17082,8.85837
2024-09-03,1.32531,9.11228
2024-09-04,1.42287,7.53244
2024-09-05,1.10578,7.37257
2024-09-06,1.13017,5.91498
2024-09-07,0.87812,6.26293
2024-09-08,0.98381,7.15629
2024-09-09,1.44727,8.10607
2024-09-10,1.78063,7.52303
2024-09-11,1.43914,9.55425
